Order ID,Order Date,Customer ID,Product ID,Quantity,Sales,Discount,Profit
ORD-2024-0091,2024-08-01,C008,P004,2,70.2,0.1,19.7
ORD-2024-0085,2024-08-02,C059,P005,4,476,0,210.5
ORD-2024-0088,2024-08-02,C058,P004,3,111.15,0.05,41.15
ORD-2024-0095,2024-08-02,C001,P028,1,31.5,0.1,6.5
ORD-2024-0087,2024-08-05,C071,P021,1,46.75,0.15,4.75
ORD-2024-0089,2024-08-05,C029,P029,3,510.15,0.05,222.15
ORD-2024-0092,2024-08-05,C008,P029,3,456.45,0.15,168.45
ORD-2024-0094,2024-08-05,C009,P036,4,25.2,0.1,1.7
ORD-2024-0097,2024-08-10,C019,P008,1,80.1,0.1,22.1
ORD-2024-0098,2024-08-11,C057,P009,2,2598,0,1023.5
ORD-2024-0096,2024-08-15,C063,P008,2,151.3,0.15,46.8
ORD-2024-0086,2024-08-17,C090,P017,1,265.05,0.05,102.05
ORD-2024-0093,2024-08-20,C057,P008,4,356,0,158.5
ORD-2024-0090,2024-08-23,C002,P001,1,699,0,266
ORD-2024-0103,2024-09-02,C081,P009,5,5196,0.2,1277
ORD-2024-0113,2024-09-02,C001,P031,1,18,0,2
ORD-2024-0102,2024-09-03,C001,P017,3,711.45,0.15,255.45
ORD-2024-0108,2024-09-04,C021,P003,4,608.4,0.1,210.9
ORD-2024-0110,2024-09-06,C009,P032,1,12.8,0.2,-2.2
ORD-2024-0106,2024-09-09,C056,P024,1,15.2,0.05,-1.8
ORD-2024-0107,2024-09-09,C030,P013,2,658,0,268.5
ORD-2024-0109,2024-09-09,C082,P004,3,117,0,47
ORD-2024-0101,2024-09-11,C029,P024,4,60.8,0.05,15.3
ORD-2024-0100,2024-09-12,C050,P008,4,284.8,0.2,87.3
ORD-2024-0111,2024-09-12,C024,P035,2,38,0.05,11.5
ORD-2024-0099,2024-09-19,C001,P010,2,1798,0,743.5
ORD-2024-0112,2024-09-23,C090,P028,2,59.5,0.15,17
ORD-2024-0104,2024-09-27,C004,P024,3,48,0,12
ORD-2024-0105,2024-09-29,C001,P001,2,1188.3,0.15,333.8
ORD-2024-0121,2024-10-02,C083,P018,1,664.05,0.05,256.05
ORD-2024-0122,2024-10-05,C054,P013,2,658,0,268.5
ORD-2024-0123,2024-10-10,C029,P024,2,30.4,0.05,3.9
ORD-2024-0115,2024-10-12,C013,P004,2,74.1,0.05,23.6
ORD-2024-0116,2024-10-12,C039,P005,2,238,0,99.5
ORD-2024-0126,2024-10-12,C074,P007,3,207,0,98
ORD-2024-0120,2024-10-14,C001,P005,1,119,0,44
ORD-2024-0114,2024-10-15,C072,P009,2,2598,0,1023.5
ORD-2024-0125,2024-10-15,C024,P022,4,176.4,0.1,77.9
ORD-2024-0127,2024-10-15,C068,P035,1,20,0,3
ORD-2024-0117,2024-10-17,C008,P013,3,888.3,0.1,312.3
ORD-2024-0128,2024-10-17,C080,P015,3,417,0,180
ORD-2024-0119,2024-10-19,C002,P031,3,54,0,21
ORD-2024-0124,2024-10-23,C050,P026,4,71.4,0.15,21.9
ORD-2024-0118,2024-10-25,C064,P022,3,139.65,0.05,61.65
ORD-2024-0135,2024-11-04,C006,P033,3,35.1,0.1,8.1
ORD-2024-0140,2024-11-04,C016,P002,3,3132.15,0.05,1076.15
ORD-2024-0134,2024-11-05,C013,P006,1,53.1,0.1,12.1
ORD-2024-0141,2024-11-09,C009,P020,3,402.3,0.1,147.3
ORD-2024-0144,2024-11-14,C003,P008,5,422.75,0.05,178.75
ORD-2024-0138,2024-11-16,C009,P024,2,32,0,5.5
ORD-2024-0143,2024-11-16,C047,P032,1,15.2,0.05,0.2
ORD-2024-0132,2024-11-18,C016,P031,1,18,0,2
ORD-2024-0129,2024-11-22,C007,P002,1,934.15,0.15,241.15
ORD-2024-0137,2024-11-23,C008,P010,3,2697,0,1121
ORD-2024-0133,2024-11-24,C016,P024,3,48,0,12
ORD-2024-0136,2024-11-24,C008,P029,3,456.45,0.15,168.45
ORD-2024-0142,2024-11-24,C036,P015,3,417,0,180
ORD-2024-0139,2024-11-26,C001,P018,2,1258.2,0.1,458.7
ORD-2024-0130,2024-11-27,C003,P006,3,177,0,77
ORD-2024-0131,2024-11-27,C010,P036,2,14,0,-1.5
ORD-2024-0155,2024-12-02,C030,P026,2,35.7,0.15,7.2
ORD-2024-0146,2024-12-03,C076,P009,2,2598,0,1023.5
ORD-2024-0156,2024-12-05,C073,P024,2,32,0,5.5
ORD-2024-0151,2024-12-08,C021,P033,1,13,0,-1
ORD-2024-0150,2024-12-09,C015,P013,4,1316,0,553.5
ORD-2024-0145,2024-12-12,C021,P015,2,250.2,0.1,86.7
ORD-2024-0152,2024-12-12,C008,P008,1,89,0,31
ORD-2024-0160,2024-12-14,C077,P017,4,1116,0,513.5
ORD-2024-0159,2024-12-18,C009,P018,1,629.1,0.1,221.1
ORD-2024-0149,2024-12-20,C008,P024,1,12.8,0.2,-4.2
ORD-2024-0157,2024-12-20,C089,P034,2,20.9,0.05,2.4
ORD-2024-0153,2024-12-21,C010,P036,1,7,0,-4.5
ORD-2024-0147,2024-12-23,C088,P014,3,537,0,228
ORD-2024-0148,2024-12-24,C007,P036,3,21,0,1.5
ORD-2024-0158,2024-12-24,C043,P020,1,149,0,53
ORD-2024-0154,2024-12-31,C009,P036,3,16.8,0.2,-2.7
ORD-2025-0170,2025-01-02,C006,P022,3,110.25,0.25,32.25
ORD-2025-0172,2025-01-03,C074,P028,4,119,0.15,41.5
ORD-2025-0162,2025-01-05,C089,P007,2,131.1,0.05,54.6
ORD-2025-0161,2025-01-15,C036,P035,1,19,0.05,2
ORD-2025-0166,2025-01-15,C014,P004,1,33.15,0.15,2.15
ORD-2025-0169,2025-01-19,C078,P032,2,30.4,0.05,7.9
ORD-2025-0171,2025-01-19,C079,P014,1,152.15,0.15,38.15
ORD-2025-0165,2025-01-22,C011,P010,1,719.2,0.2,186.2
ORD-2025-0173,2025-01-23,C006,P005,1,119,0,44
ORD-2025-0164,2025-01-24,C008,P009,5,5845.5,0.1,1926.5
ORD-2025-0168,2025-01-26,C001,P029,4,716,0,334.5
ORD-2025-0163,2025-01-28,C016,P028,3,84,0.2,24
ORD-2025-0167,2025-01-29,C057,P025,3,39.9,0.05,12.9
ORD-2025-0179,2025-02-01,C036,P023,3,175.5,0.1,70.5
ORD-2025-0185,2025-02-02,C063,P010,1,854.05,0.05,321.05
ORD-2025-0178,2025-02-06,C001,P001,3,1887.3,0.1,611.3
ORD-2025-0181,2025-02-06,C061,P007,1,65.55,0.05,21.55
ORD-2025-0177,2025-02-09,C056,P003,3,380.25,0.25,79.25
ORD-2025-0180,2025-02-10,C021,P026,4,63,0.25,13.5
ORD-2025-0186,2025-02-11,C008,P018,2,1398,0,598.5
ORD-2025-0182,2025-02-14,C021,P012,1,359.1,0.1,116.1
ORD-2025-0175,2025-02-16,C090,P012,1,379.05,0.05,136.05
ORD-2025-0176,2025-02-16,C008,P005,2,226.1,0.05,87.6
ORD-2025-0174,2025-02-17,C055,P025,2,21,0.25,0.5
ORD-2025-0183,2025-02-19,C003,P032,2,27.2,0.15,4.7
ORD-2025-0184,2025-02-25,C062,P032,5,80,0,35
ORD-2025-0198,2025-03-06,C032,P019,3,609.45,0.15,213.45
ORD-2025-0200,2025-03-10,C007,P013,2,592.2,0.1,202.7
ORD-2025-0196,2025-03-13,C001,P036,1,7,0,-4.5
ORD-2025-0191,2025-03-21,C088,P013,2,658,0,268.5
ORD-2025-0195,2025-03-21,C086,P034,2,17.6,0.2,-0.9
ORD-2025-0190,2025-03-23,C019,P035,2,34,0.15,7.5
ORD-2025-0193,2025-03-24,C012,P023,2,123.5,0.05,48
ORD-2025-0188,2025-03-25,C009,P009,2,2338.2,0.1,763.7
ORD-2025-0189,2025-03-26,C018,P032,3,43.2,0.1,13.2
ORD-2025-0199,2025-03-27,C003,P033,5,58.5,0.1,18.5
ORD-2025-0187,2025-03-29,C032,P028,2,59.5,0.15,17
ORD-2025-0192,2025-03-29,C060,P032,1,15.2,0.05,0.2
ORD-2025-0197,2025-03-29,C066,P023,5,308.75,0.05,144.75
ORD-2025-0194,2025-03-30,C001,P010,5,4270.25,0.05,1651.25
ORD-2025-0209,2025-04-01,C048,P027,2,43.2,0.2,8.7
ORD-2025-0210,2025-04-01,C005,P002,1,1044.05,0.05,351.05
ORD-2025-0211,2025-04-11,C010,P002,1,879.2,0.2,186.2
ORD-2025-0206,2025-04-12,C060,P028,2,63,0.1,20.5
ORD-2025-0203,2025-04-13,C050,P029,2,322.2,0.1,127.7
ORD-2025-0207,2025-04-13,C088,P014,1,125.3,0.3,11.3
ORD-2025-0202,2025-04-14,C086,P021,2,110,0,42.5
ORD-2025-0204,2025-04-15,C037,P035,2,38,0.05,11.5
ORD-2025-0212,2025-04-18,C079,P011,2,484.2,0.1,179.7
ORD-2025-0213,2025-04-19,C048,P017,2,418.5,0.25,109
ORD-2025-0214,2025-04-23,C050,P008,5,445,0,201
ORD-2025-0208,2025-04-24,C003,P024,3,38.4,0.2,2.4
ORD-2025-0201,2025-04-30,C048,P005,1,89.25,0.25,14.25
ORD-2025-0205,2025-04-30,C031,P025,1,13.3,0.05,-0.7
ORD-2025-0224,2025-05-09,C060,P012,2,798,0,323.5
ORD-2025-0225,2025-05-10,C008,P017,1,251.1,0.1,88.1
ORD-2025-0226,2025-05-11,C025,P008,3,213.6,0.2,62.6
ORD-2025-0228,2025-05-13,C036,P021,2,99,0.1,31.5
ORD-2025-0217,2025-05-17,C083,P002,1,1099,0,406
ORD-2025-0219,2025-05-19,C052,P017,1,279,0,116
ORD-2025-0221,2025-05-21,C062,P011,4,860.8,0.2,263.3
ORD-2025-0215,2025-05-23,C002,P004,1,39,0,8
ORD-2025-0220,2025-05-27,C004,P023,1,55.25,0.15,9.25
ORD-2025-0229,2025-05-27,C089,P024,2,30.4,0.05,3.9
ORD-2025-0218,2025-05-29,C006,P013,4,1250.2,0.05,487.7
ORD-2025-0222,2025-05-29,C070,P014,2,358,0,146.5
ORD-2025-0223,2025-05-29,C087,P030,2,418.6,0.3,78.1
ORD-2025-0227,2025-05-29,C032,P013,1,296.1,0.1,93.1
ORD-2025-0216,2025-05-31,C014,P028,3,84,0.2,24
ORD-2025-0244,2025-06-07,C074,P009,2,2598,0,1023.5
ORD-2025-0230,2025-06-09,C016,P003,2,304.2,0.1,99.7
ORD-2025-0238,2025-06-09,C001,P029,2,322.2,0.1,127.7
ORD-2025-0235,2025-06-10,C033,P015,1,132.05,0.05,42.05
ORD-2025-0237,2025-06-14,C002,P032,1,14.4,0.1,-0.6
ORD-2025-0241,2025-06-15,C069,P016,1,329.4,0.4,1.4
ORD-2025-0243,2025-06-15,C052,P026,2,33.6,0.2,5.1
ORD-2025-0240,2025-06-17,C006,P014,3,510.15,0.05,201.15
ORD-2025-0233,2025-06-19,C076,P026,5,78.75,0.25,18.75
ORD-2025-0232,2025-06-20,C027,P030,2,358.8,0.4,18.3
ORD-2025-0242,2025-06-22,C088,P020,2,268.2,0.1,92.7
ORD-2025-0231,2025-06-23,C042,P014,1,152.15,0.15,38.15
ORD-2025-0236,2025-06-24,C055,P012,2,758.1,0.05,283.6
ORD-2025-0234,2025-06-29,C023,P010,3,2427.3,0.1,851.3
ORD-2025-0239,2025-06-29,C075,P017,4,837,0.25,234.5
ORD-2025-0260,2025-07-02,C012,P030,1,179.4,0.4,5.4
ORD-2025-0246,2025-07-04,C024,P003,1,169,0,61
ORD-2025-0258,2025-07-08,C054,P008,5,333.75,0.25,89.75
ORD-2025-0255,2025-07-10,C006,P013,1,296.1,0.1,93.1
ORD-2025-0254,2025-07-11,C038,P022,2,93.1,0.05,35.6
ORD-2025-0252,2025-07-15,C048,P034,2,20.9,0.05,2.4
ORD-2025-0256,2025-07-16,C009,P019,2,406.3,0.15,136.8
ORD-2025-0245,2025-07-21,C006,P026,4,75.6,0.1,26.1
ORD-2025-0247,2025-07-21,C019,P002,3,3132.15,0.05,1076.15
ORD-2025-0249,2025-07-21,C028,P033,1,11.05,0.15,-2.95
ORD-2025-0257,2025-07-22,C015,P028,4,105,0.25,27.5
ORD-2025-0253,2025-07-24,C003,P015,1,111.2,0.2,21.2
ORD-2025-0250,2025-07-25,C002,P033,1,9.1,0.3,-4.9
ORD-2025-0251,2025-07-28,C004,P009,3,3702.15,0.05,1346.15
ORD-2025-0259,2025-07-28,C007,P032,1,12,0.25,-3
ORD-2025-0248,2025-07-30,C052,P024,4,64,0,18.5
ORD-2025-0266,2025-08-05,C066,P020,2,268.2,0.1,92.7
ORD-2025-0261,2025-08-07,C064,P026,2,33.6,0.2,5.1
ORD-2025-0273,2025-08-08,C003,P001,1,664.05,0.05,231.05
ORD-2025-0268,2025-08-09,C034,P033,1,13,0,-1
ORD-2025-0265,2025-08-11,C052,P021,4,176,0.2,57.5
ORD-2025-0264,2025-08-12,C009,P031,1,16.2,0.1,0.2
ORD-2025-0267,2025-08-13,C003,P021,2,104.5,0.05,37
ORD-2025-0262,2025-08-14,C038,P012,4,1117.2,0.3,179.7
ORD-2025-0269,2025-08-15,C002,P002,2,2198,0,823.5
ORD-2025-0270,2025-08-18,C082,P017,1,223.2,0.2,60.2
ORD-2025-0274,2025-08-18,C013,P007,1,65.55,0.05,21.55
ORD-2025-0276,2025-08-18,C015,P012,1,319.2,0.2,76.2
ORD-2025-0275,2025-08-22,C063,P015,2,250.2,0.1,86.7
ORD-2025-0263,2025-08-24,C017,P027,5,121.5,0.1,46.5
ORD-2025-0271,2025-08-25,C073,P026,4,50.4,0.4,0.9
ORD-2025-0272,2025-08-27,C077,P034,1,11,0,-2
ORD-2025-0292,2025-09-01,C007,P034,2,17.6,0.2,-0.9
ORD-2025-0289,2025-09-03,C001,P032,1,15.2,0.05,0.2
ORD-2025-0288,2025-09-04,C003,P030,3,717.6,0.2,210.6
ORD-2025-0281,2025-09-05,C042,P010,1,764.15,0.15,231.15
ORD-2025-0280,2025-09-06,C035,P005,1,119,0,44
ORD-2025-0286,2025-09-06,C062,P003,2,287.3,0.15,82.8
ORD-2025-0293,2025-09-08,C021,P029,1,152.15,0.15,51.15
ORD-2025-0291,2025-09-13,C074,P010,3,2292.45,0.15,716.45
ORD-2025-0278,2025-09-14,C069,P032,5,80,0,35
ORD-2025-0277,2025-09-18,C062,P003,3,456.3,0.1,155.3
ORD-2025-0287,2025-09-19,C075,P022,4,156.8,0.2,58.3
ORD-2025-0290,2025-09-19,C009,P031,5,67.5,0.25,17.5
ORD-2025-0282,2025-09-20,C002,P008,5,333.75,0.25,89.75
ORD-2025-0284,2025-09-20,C001,P017,1,223.2,0.2,60.2
ORD-2025-0285,2025-09-20,C007,P006,1,50.15,0.15,9.15
ORD-2025-0283,2025-09-22,C068,P010,1,899,0,366
ORD-2025-0279,2025-09-30,C085,P003,3,430.95,0.15,129.95
ORD-2025-0309,2025-10-02,C001,P017,1,279,0,116
ORD-2025-0294,2025-10-03,C009,P020,3,447,0,192
ORD-2025-0300,2025-10-05,C003,P033,2,22.1,0.15,1.6
ORD-2025-0308,2025-10-06,C087,P007,1,58.65,0.15,14.65
ORD-2025-0298,2025-10-07,C021,P014,2,304.3,0.15,92.8
ORD-2025-0296,2025-10-08,C082,P018,3,2097,0,906
ORD-2025-0297,2025-10-08,C085,P004,4,148.2,0.05,58.7
ORD-2025-0295,2025-10-09,C053,P022,3,139.65,0.05,61.65
ORD-2025-0301,2025-10-09,C003,P020,3,379.95,0.15,124.95
ORD-2025-0310,2025-10-10,C032,P026,1,18.9,0.1,0.9
ORD-2025-0303,2025-10-13,C056,P022,2,98,0,40.5
ORD-2025-0304,2025-10-13,C009,P028,1,29.75,0.15,4.75
ORD-2025-0311,2025-10-18,C007,P003,2,321.1,0.05,116.6
ORD-2025-0305,2025-10-21,C019,P025,2,28,0,7.5
ORD-2025-0306,2025-10-25,C070,P001,4,2516.4,0.1,818.9
ORD-2025-0299,2025-10-26,C076,P018,1,699,0,291
ORD-2025-0302,2025-10-26,C066,P034,2,19.8,0.1,1.3
ORD-2025-0307,2025-10-26,C037,P004,5,185.25,0.05,76.25
ORD-2025-0328,2025-11-02,C003,P011,3,605.25,0.25,154.25
ORD-2025-0327,2025-11-03,C061,P013,3,987,0,411
ORD-2025-0312,2025-11-05,C011,P008,2,160.2,0.1,55.7
ORD-2025-0316,2025-11-09,C002,P001,2,1258.2,0.1,403.7
ORD-2025-0324,2025-11-10,C074,P027,1,20.25,0.25,-0.75
ORD-2025-0321,2025-11-13,C001,P016,1,411.75,0.25,83.75
ORD-2025-0320,2025-11-14,C013,P030,2,508.3,0.15,167.8
ORD-2025-0319,2025-11-16,C062,P013,4,1118.6,0.15,356.1
ORD-2025-0322,2025-11-16,C001,P018,1,419.4,0.4,11.4
ORD-2025-0326,2025-11-17,C007,P016,3,1235.25,0.25,284.25
ORD-2025-0329,2025-11-18,C047,P029,3,322.2,0.4,34.2
ORD-2025-0325,2025-11-19,C037,P004,2,54.6,0.3,4.1
ORD-2025-0314,2025-11-20,C076,P027,4,102.6,0.05,41.1
ORD-2025-0317,2025-11-26,C008,P011,1,269,0,111
ORD-2025-0330,2025-11-27,C044,P030,2,598,0,257.5
ORD-2025-0313,2025-11-28,C029,P022,1,34.3,0.3,-2.7
ORD-2025-0318,2025-11-28,C006,P032,2,28.8,0.1,6.3
ORD-2025-0315,2025-11-29,C008,P031,3,45.9,0.15,12.9
ORD-2025-0323,2025-11-29,C086,P011,4,1076,0,478.5
ORD-2025-0340,2025-12-03,C002,P012,1,399,0,156
ORD-2025-0335,2025-12-04,C013,P002,3,3132.15,0.05,1076.15
ORD-2025-0342,2025-12-04,C033,P022,4,186.2,0.05,87.7
ORD-2025-0345,2025-12-04,C016,P014,2,304.3,0.15,92.8
ORD-2025-0333,2025-12-05,C019,P022,3,132.3,0.1,54.3
ORD-2025-0348,2025-12-05,C060,P012,3,957.6,0.2,251.6
ORD-2025-0341,2025-12-08,C003,P007,2,131.1,0.05,54.6
ORD-2025-0350,2025-12-09,C046,P027,5,121.5,0.1,46.5
ORD-2025-0339,2025-12-12,C070,P015,2,250.2,0.1,86.7
ORD-2025-0332,2025-12-16,C064,P030,1,254.15,0.15,80.15
ORD-2025-0336,2025-12-16,C025,P011,2,511.1,0.05,206.6
ORD-2025-0346,2025-12-17,C009,P004,2,78,0,27.5
ORD-2025-0344,2025-12-18,C057,P024,1,11.2,0.3,-5.8
ORD-2025-0343,2025-12-19,C090,P029,3,322.2,0.4,34.2
ORD-2025-0338,2025-12-20,C006,P031,2,36,0,11.5
ORD-2025-0347,2025-12-22,C008,P027,2,37.8,0.3,3.3
ORD-2025-0337,2025-12-23,C075,P003,3,405.6,0.2,104.6
ORD-2025-0331,2025-12-26,C043,P027,1,20.25,0.25,-0.75
ORD-2025-0349,2025-12-26,C002,P032,2,30.4,0.05,7.9
ORD-2025-0334,2025-12-31,C053,P031,4,72,0,30.5
